project_id:ID(Project),acronym,title,status
101068774,FRAME,FRAME – Fungal Research in the Age of Museomic Exploration: revisiting historical lichen collections,TERMINATED
101068779,StARS,Sustainable Aluminium Reinforced Seawater Concrete,SIGNED
101068785,QUARC,QUARC-BEYOND QUANTUM ADVANTAGE: A PRACTICAL AND UNCONDITIONAL PERSPECTIVE,SIGNED
101068791,NuBridge,Neutrino experiments and data as a bridge to new physics,SIGNED
101068795,IEIA,Imagination in the Experience of Installation Art,SIGNED
101068800,POYESIS,"Perspectives on Yiddish Cultural Evolution and Its Legacy: Visual Arts, Theatre, and Songwriting Between Assimilation and Identity. A Case Study",SIGNED
101068803,READ-seq,Revealing the gene regulatory networks that govern cell mechanical properties by single cell microfluidics,SIGNED
101068805,Photochem-RS-RP,Unraveling the Photochemistry of Radiosensitizers and Radioprotectors in Free Biomolecular Complexes,CLOSED
101068828,BehindAI,"Building Responsible Technology: Global Digital Transformations, Tech Workers’ Agency and the Making of Artificial Intelligence",SIGNED
101068830,PARTHECOM,New pathway and small-molecule compounds for Parkinson’s disease therapy,SIGNED
101068833,TRAFFICKER,"Human Traffickers: The social circuits of human trafficking and transnational, organised crime",SIGNED
101068836,BIOELECTRO-CO2,Bioelectrochemical transformation of CO2 for the synthesis of value-added products,SIGNED
101068843,OncoFetal_Ploidy,Understanding aneuploidy tolerance in cancer by studying early embryogenesis,SIGNED
101068850,simSpas,Development of a simulation platform to study the role of joint hyper-resistance in functional tasks in children with cerebral palsy.,SIGNED
101068861,EvoSaurAf,The evolution of long-necked dinosaurs of Africa before the Cenomanian-Turonian extinction,SIGNED
101068871,SynEMO,Synaptic dendritic architecture as a determinant for processing emotional information of opposite value in amygdalar-hippocampal subnetworks,CLOSED
101068893,MemUnited,Hippocampus unites Memory Systems by preserving Sequential Order,TERMINATED
101068894,LIFE,LIterature For Empowerment against manipulation,SIGNED
101068895,PNIRED,Developing near-infrared persistent room-temperature phosphorescence for down-conversion OLEDs,CLOSED
101068900,REMaP-Carbon,Reassessing phosphorus removal by employing classical and fermentative metabolism of polyphosphate accumulating organisms in complex carbon environments,SIGNED
101068908,B-FHAB,Hacking Photosynthesis: Biosensors for Herbicides and Beyond,TERMINATED
101068936,SPIKE,Engineering Water Repellent Coatings by Functional Nano-Sponges: a Springboard to Stable Perovskite Devices (SPIKE),CLOSED
101068955,CoprodAction,"CoprodAction: Addressing the coproduction of urban environment in Quito, Ecuador",CLOSED
101068962,LipidGlia,Exposing the glial metabolism - common link to brain damage,TERMINATED
101068976,WOMENWRITERS,The Self-Fashioning of Women Writers in Early Modern Italy (1490-1610),SIGNED
101068996,LASERION,Laser-patterned hierarchical porous electrodes for the foreseen Iontronics technology,SIGNED
101069005,CoLiBRI,"Cobalt and Lithium speciation, toxicity, and Bacterial community Regulations at the sediment-water-Interface",SIGNED
101069017,EluMecAOR,Elucidation of the different reaction mechanisms and pathways offered by the AOR,SIGNED
101069018,ChemProFlav,"An innovative toolbox based on Pd-catalysis for protease inhibitor synthesis, applied to the discovery of pan-anti-flaviviral compounds",CLOSED
101069021,FICOP,Optimization of fast-ion confinement against edge instabilities for future fusion reactors,SIGNED
101069028,Protambbody,Proteasomal degradation of toxic intracellular amyloid-beta protein by nanobody-enabled proximity to ubiquitin ligase,SIGNED
101069033,STREAM,Solid Through Rigid Electrolyte: Advanced Measurements,SIGNED
101069035,ASNet,Understanding individual heterogeneity in ageing from stochastic dynamics of sigma factor regulatory network in bacteria,SIGNED
101069046,REMAP,Reactions in Microdroplets Accelerated by Plasma,CLOSED
101069053,REACT,A Simulation-based Framework for Measuring and Modeling the Impact of Attacks on 6G-enabled Massive IoT Networks,TERMINATED
101069067,Th17 tissue metab,Metabolic imprinting of Th17 cells in disease pathogenesis,SIGNED
101069074,EVOLVE,Isolation and Analysis of Extracellular Vesicles using OptofLuidics for the eValuation of Microsatellite Instability in Endometrial Cancer,CLOSED
101069091,ExpeCO2SolTrap,Experimental investigation of CO2 solubility trapping in heterogeneous 3D porous media,CLOSED
101069099,EmbRace,The Embodiment of Racialization: Running Muslim Women and the Sense of Non-Belonging,CLOSED
101069100,SuperFusion,Precommercializing a Method For Inducing Muscle Fiber Formation For Industrial Meat Production,CLOSED
101069104,PRESSMAG,The pressure effects on magnetic properties of an ideal quasi-2D planar antiferromagnet BaNi2V2O8 at the base and finite temperatures,CLOSED
101069111,MetEvoAMR,The early metabolic stages in the evolution of antimicrobial resistance,SIGNED
101069118,MitoMemInsert,Structural determination and dynamics of the mitochondrial import protein (MIM) by cryo-EM and magic-angle-spinning (MAS) nuclear magnetic resonance (NMR),CLOSED
101069121,BiophInLLPSInt,Biophysical investigation of the liquid-liquid phase separation solvent interface.,SIGNED
101069156,PSEUDOPIN,PSEUDOPIN,CLOSED
101069157,UMOCELF,Understanding and modifying cell-fate transitions during plant grafting,SIGNED
101069163,CNECT-VAX,C- and N-terminal Epitope Conjugate immune Cell Targeted Vaccines,CLOSED
101069165,SYNTACT,Reactive Synthesis in Action,CLOSED
101069166,MONOBREAST,Low-dose breast CT with monochromatic x-ray sources,SIGNED
101069171,PANTANI,"Proton, electron And Neutron sources for non-destructive Testing ANd Investigations and treatment of materials",CLOSED
101069172,SENSE,A Sensor for Autonomous Navigation in Deep Space,CLOSED
101069173,MagMech,MagMech: Precision magnetic tweezers for the mechanobiology of cells and tissues.,CLOSED
101069174,Print and Grow,A novel support material for 3D bioprinting and post-printing tissue growth: Print and Grow,CLOSED
101069176,EpiGrid,EpiGrid: Soft and flexible high density electrode grids for epilepsy surgery,CLOSED
101069179,WISH,Wearable Integrated Soft Haptic Display for Prosthetics,CLOSED
101069181,LEILA,Closed-Loop and multisEnsing delIvery tool for controlled Laser Ablation of tumors,CLOSED
101069182,L-Cell,Light-reconfigurable substrate for cell cultures,CLOSED
101069183,SIS,SHARE IT SOLUTIONS,CLOSED
101069186,MULTIDOOR,Diagnostic Screening Platform to Facilitate Conflict Resolution,CLOSED
101069187,PhotonFAB,Integrated photonic circuit fabrication by femtosecond laser writing for quantum information,CLOSED
101069190,VTX-HPC,Molecular Visualization of High Performance Computing Simulations with VTX,CLOSED
101069192,ConnectomesToANNs,From reconstructions of neuronal circuits to anatomically realistic artificial neural networks,CLOSED
101069201,Negev Wine Revival,From near extinction to market distinction: Developing a methodology for the sustainable revival of heritage grapevine cultivars,CLOSED
101069203,REFMAG,Bulk rare earth free permanent magnets,CLOSED
101069207,DL-MechanoPredictor,Deep learning derived mechanical biomarkers for cancer therapy prediction,CLOSED
101069212,BWAIN,Black Widow Antivenom Innovation Necessity,CLOSED
101069213,HHS-EWS,Operational Heat-Health-Social Early Warning System,CLOSED
101069214,Re-TauAD,Repurposing a human drug to treat Alzheimer’s disease,CLOSED
101069216,HAPLOTAGGING,Linking genome variation with haplotype-resolved sequencing,CLOSED
101069217,SWIRL,Short-wave Infrared Light emitters based on Colloidal Quantum Dot Technology,CLOSED
101069218,GRIP,reGeneRative bone Implant for the treatment of hip dysPlasia,CLOSED
101069222,Emerald,Early warning systeM for soil dEgRadation: a statistical physics Approach to cLimate change aDaptation,CLOSED
101069228,CAVIPHY,Exploitation of extreme cavitation conditions for wastewater treatment,CLOSED
101069232,SHIPMENT,Sustainable and HIgh Performance MEmbranes via iNTerfacial complexation (SHIPMENT),CLOSED
101069234,CELLO,Cellulose Based Photonic Materials,CLOSED
101069235,seEMT,Generation and validation of a panel of EMT reporter cell lines from solid tumors,CLOSED
101069237,OptiPlex,Commercial feasibility of a cell-free reactor setup  for optimisation of complex enzymatic pathways,CLOSED
101069239,VectorFieldImaging,Scanning probe microscopy in high vectorial magnetic fields: New device for imaging quantum materials,CLOSED
101069244,SMARTISTIC,Smart Battery Manufacturing Research and Development Assistant based on Augmented Reality Technology and powered with the ARTISTIC project Computational Models,CLOSED
101069245,WOKEGATE,Minimally invasive endoscopes for neuronal activity monImaging-assisted single-cell specific activity monitoring and optogenetic stimulation of deep brain structures in motile and awaken animal models,CLOSED
101069246,SNAP-ADAR Kit,Simplifying the SNAP-ADAR Tool for Broad Usage in Life Science Research and Drug Discovery,CLOSED
101069247,LiquidS,Energy storage with bulk liquid redox materials,CLOSED
101069250,IMMUNO-MONITORING,ELECTROCHEMICAL DNA-BASED SENSORS FOR IMMUNOTHERAPY MONITORING,CLOSED
101069255,ONCOMAC,Allogeneic Macrophages for Cancer Therapy,CLOSED
101069256,REGENERA,COMMERCIALISATION OF A NOVEL PROTEIN VARIANT WITH NEURORESTORATIVE EFFECTS FOR AMYOTROPHIC LATERAL SCLEROSIS,CLOSED
101069259,3D-APP,High-energy micro-supercapacitors based on low-cost materials,CLOSED
101069260,EOFLIM,Fast Electro-Optic Fluorescence Lifetime Microscopy (EOFLIM) for super-resolution microscopy and brain surgery.,CLOSED
101069261,PET,Printing Electro-Tomography,CLOSED
101069262,XMem,All-around encapsulated Xene membranes for integration in transistors,CLOSED
101069263,BoldJet,Skin micro-injector,CLOSED
101069264,Attitude-Maps-4-All,"Delivering a useable method for mapping groups in attitude networks by developing a robust prototype, development community, and exploitation model to maximize the social value of the breakthrough",CLOSED
101069268,DEMONIA,Development of a photoelectrochemical device for Ammonia production,CLOSED
101069276,CANDY,Therapeutic discovery for cholangiocellular carcinoma,CLOSED
101069277,Cohesin-Tx,Cohesin Therapeutics. Precision medicine for treating STAG2 mutated cancers,CLOSED
101069279,PROCT,Prostate Diagnosis using Optical Coherence Tomography,CLOSED
101069281,PanThera,Targeting Epilepsy Ictogenesis Process Through Pannexin-1 Modulation,CLOSED
101069282,AntiVirFish,Antiviral Proteins Applied as Therapeutics in Aquaculture,CLOSED
101069287,OMEGA-X,Orchestrating an interoperable sovereign federated Multi-vector Energy data space built on open standards and ready for GAia-X,SIGNED
101069288,e-COOL,Electroluminescent cooler prototype,CLOSED
101069289,Soxradicate Relapse,A combined diagnostic and targeted gene therapy platform for brain tumor relapse,CLOSED
101069291,TAPTAPP,Training Alone to Play Together App,CLOSED
101069293,FunGraB,Functionalized Graphene Based Electrode Material for Lithium Sulfur Batteries,CLOSED
101069295,CONDINKS,Conductive oxide-based dispersions from non-critical raw materials for functional nanoinks,CLOSED
101069298,Open-Imaging,"Open Geometry PET, with 150ps TOF Resolution, for Real Time Molecular Imaging",CLOSED
101069299,SHANNON,Secure Hardware with AdvaNced NONvolatile memories,CLOSED
101069301,BioMag,A companion magnetic sensor for in operando detection of magnetic biosynthesis in cancer and neurodegenerative models,CLOSED
101069302,BioCHIPs,BioCHIPS - Biofabricated microfluidcs CHIPS based on self assembling of CNCs to recreate the hierarchical fibrillar structure of human tissues ECM,CLOSED
101069307,BIO-LINKER,Linker molecules convert commercial fluorophores into tailored functional probes during biolabeling,CLOSED
101069308,RNhale,Dry Powder Formulation of RNA Nanoparticles for Inhalation and Improved Storage and Transport Conditions,CLOSED
101069310,ALAMS,Atomic-layer additive manufacturing for solar cells,CLOSED
101069311,RIDaGoP,Research on Indigenous Data Governance Protocols: A toolkit for working with Indigenous Knowledge,CLOSED
101069312,ViEWS,ViEWS – a political Violence Early Warning System,CLOSED
101069316,ResisCHIP,Rapid chip-based detection of antibiotic resistances,CLOSED
101069319,ARGOS,Advanced Reduced order modellinG: Online computational web server for complex parametric Systems,CLOSED
101069322,CQDplay,Colloidal Quantum Dot Molecules for Display Applications,CLOSED
101069326,microMESH,Preclinical validation and market analysis of a microMESH implant for brain cancer eradication,CLOSED
101069327,ArtSilkTex,Artifical spider silk textiles,CLOSED
101069333,FIH-IO,Development of a first-in-class inhibitor of FIH for cancer immunotherapy,CLOSED
101069334,PTMActKit,Development and commercialization of a kit for profiling enzyme activity in liquid biopsies,CLOSED
101069336,Real-PCM-PIM,Real Processing in Phase Change Memory,CLOSED
101069337,FAIRGLUCOSE,Affordable and sustainable self-powered GLUCOSE sensing system for a global FAIR diabetes management,CLOSED
101069343,CryoChip,Nanofluidic chips for reproducible cryo-EM sample preparation with picoliter sample volumes,CLOSED
101069344,OPTIMEYEZ,Optical imaging platform for high-throughput longitudinal studies of the eye in disease models,CLOSED
101069348,INPATT,INorganic Photochemical PATTerning,CLOSED
101069349,Electrofloat,Electrode assembly from floating nanowires for sustainable next generation batteries,CLOSED
101069354,APPSAFE,Developing a rating tool for APP SAfety (APPSAFE),CLOSED
101069356,Nano-imaging,Nano-Biological Contrast Agent Platform for MRI Imaging,CLOSED
101069357,Photo2Fuel,Artificial PHOTOsynthesis to produce FUELs and chemicals: hybrid systems with microorganisms for improved light harvesting and CO2 reduction,SIGNED
101069359,SolDAC,Full spectrum SOLar Direct Air Capture & conversion,SIGNED
101069360,G-PROBE,Novel Probes for Scanning Probe Microscopy,CLOSED
101069363,COOLGRAELE,COOLing electronic devices with GRAphene ELEctrons,CLOSED
101069364,NGI Search,Next Generation Internet Discovery and Search,SIGNED
101069368,ADJU-PLATFORM,MINIMAL SAPONIN-BASED ADJUVANT VACCINE PLATFORM,SIGNED
101069369,MeTIC,Methyltransferase inhibitors for treatment of COVID19,CLOSED
101069377,Regenerative ICOs,Regenerative ICOs: Tokenizing Debt and Dividends,CLOSED
101069379,SweetCancerTest,Diagnostics of aberrant cancer glycosylation signatures,CLOSED
101069382,Opti-AAV,Towards a gene therapy for age-related macular degeneration (AMD),CLOSED
101069387,Topo Insulator VCSEL,Topological Insulator Vertical Cavity Laser Array,CLOSED
101069390,FuseSeq,"Single molecule reconstruction for high-throughput, short-read sequencing technologies",CLOSED
101069391,POLYBRAINT,Versatile Polypeptide-based Intranasal Drug Delivery Platform(s) to Tackle CNS Disorders.,CLOSED
101069392,Syst-Onco-Herpes,Systemic delivery of oncolytic herpes simplex viruses retargeted to cancer-specific receptors. Virus optimization and business planning.,CLOSED
101069394,AUTOCD,Building the First Automated Causal Discovery Platform,CLOSED
101069395,TREM2MICROENGINES,TREM2 MICROglia ENGENEering for treating dementiaS (TREM2MICROENGINES),CLOSED
101069397,NeutrAD,Targetting neutrophil-mediated neurotoxicity for the treatment of Alzheimer's Disease,CLOSED
101069400,LIFECOURSE-ABM,Advanced Biopsychosocial Simulation for Harmful Adolescent Behaviour,CLOSED
101069401,MOFFET,Metal-Organic Framework Field-Effect Transistor Arrays for Chemical Sensing,CLOSED
101069402,WAVESIM,WAVESIM – The next generation electromagnetic wave solver,CLOSED
101069404,LabmyXRD,Laboratory 3D micro X-ray diffraction,CLOSED
101069405,ENSURE,Non-invasive follow-up of urinary tract cancers,CLOSED
101069413,POIRE,Prison Oversight: Improving Prisons in Europe,SIGNED
101069414,BiofilmEradicate,Modification of liposomic nano-carriers: a novel strategy for improved drug-delivery and eradication of bacterial biofilms,CLOSED
101069416,REVEAL,REVEALing complex strain patterns and dangerous loads using cholesteric liquid crystal elastomers,CLOSED
101069424,SPINTOP,SPINTOP,CLOSED
101069428,CH4F,"Heritage for the future, Science for heritage",CLOSED
101069429,miRToTALL,A microRNA-regulated cell death-inducing gene therapy for T-cell Acute Lymphoblastic Leukemia,CLOSED
101069433,DOMES,Directed Orchestration of Microfluidic Environments for guided Self-organisation,CLOSED
101069436,Stripe-o-Morph,Morphing tubular structures for adaptive biomedical devices,CLOSED
101069446,CRYSPEN,Custom Cryptographic Solutions with Formal Security Guarantees,CLOSED
101069447,COMb,High Speed Communication Links Based on Heterogeneous Chips,CLOSED
101069454,hmqPro,"Highly multiplexed, quantitative protein biomarker profiling (hmqPro)",CLOSED
101069456,RNable,RNA and Nanotechnology Enable Wider Accessibility to Stem Cell Transplantation,CLOSED
101069457,DRVis,Dynamical Recurrent Visual Perceiver,CLOSED
101069459,BasicFit,Targeting bicarbonate transport as a “first-in-class” therapeutic strategy to promote CD8+ T cell fitness and enhance cancer immunotherapy,CLOSED
101069461,PLANeT,PLant AdaptioN to Elevated Temperatures: mitigating crop losses caused by climate change,CLOSED
101069469,HIPECO2,Membrane Electrode Assembly for the High Pressure Electrochemical Conversion of CO2 to C2H4,CLOSED
101069470,BIoRead,Reading DNA in real time for medical applications,CLOSED
101069471,CERTIFY,aCtive sEcurity foR connecTed devIces liFecYcles,SIGNED
101069474,TITAN,Direct biogas conversion to green H2 and carbon materials by scalable microwave heaTed catalytIc reacTor for soil Amendment and silicon carbide production,SIGNED
101069490,PhotoGeNIC,Photonics on Germanium - New Industrial Consortium,SIGNED
101069491,CANMILK,Carbon Neutral Milk,SIGNED
101069492,REVEAL,Revolutionary energy storage cycle with carbon free aluminium,SIGNED
101069496,4.UNCAN.eu,A Coordination and Support Action to prepare UNCAN.eu platform,SIGNED
101069499,FAIRWork,Flexibilization of complex Ecosystems using Democratic AI based Decision Support and Recommendation Systems at Work,SIGNED
101069500,AfroSAFE,Safe System for radical improvement of road safety in low- and middle-income African countries,SIGNED
101069505,SOLiD,Sustainable manufacturing and optimized materials and interfaces for lithium metal batteries with digital quality control,SIGNED
101069506,DUT,European Partnership Driving Urban Transitions,SIGNED
101069508,HighSpin,High-Voltage Spinel LNMO Silicon-Graphite Cells and Modules for Automotive and Aeronautic Transport Applications,SIGNED
101069510,EDDIE,European Distributed Data Infrastructure for Energy,SIGNED
101069515,IGNITE,Integrated GermaNIum quanTum tEchnology,SIGNED
101069525,TRANS-SAFE,Transforming Road Safety in Africa,SIGNED
101069528,greenSPEED,Green and Sustainable Processes for Electrode Production,SIGNED
101069529,SSH CENTRE,"Social Sciences and Humanities for Climate, Energy aNd Transport Research Excellence",SIGNED
101069535,HARPOCRATES,Federated Data Sharing and Analysis for Social Utility,SIGNED
101069536,MOZART,Morphing Computerized mats with Embodied Sensing and Artificial Intelligence,SIGNED
101069538,HEIDI,Holistic and adaptivE Interface Design for human-technology Interactions,SIGNED
101069543,CS-AWARE-NEXT,Dynamic cybersecurity management for organisations and local/regional networks based on awareness and collaboration,SIGNED
101069547,PoDIUM,PDI connectivity and cooperation enablers building trust and sustainability for CCAM,SIGNED
101069573,SUNRISE,"Safety assUraNce fRamework for connected, automated mobIlity SystEms",SIGNED
101069576,ROADVIEW,Robust Automated Driving in Extreme Weather,SIGNED
101069586,BOLSTER,Bridging Organizations and marginalized communities for Local Sustainablity Transitions in EuRope,SIGNED
101069594,NGI0 Entrust,NGI0 Entrust,SIGNED
101069595,SAFEXPLAIN,SAFE AND EXPLAINABLE CRITICAL EMBEDDED SYSTEMS BASED ON AI,SIGNED
101069600,SALIENT,"Novel Concepts for Safer, Lighter, Circular and Smarter Vehicle Structure Design for Enhanced Crashworthiness and Higher Compatibility",SIGNED
101069601,DYNAMO,Dynamic Resilience Assessment Method including combined Business Continuity Management and Cyber Threat Intelligence solution for Critical Sectors,SIGNED
101069604,GREENET,"NCPS NETwork for the GREEN transition in climate, energy and mobility",SIGNED
101069605,FRESH,Formate for Renewable Energy Storage,SIGNED
101069610,InCUBE,An INClUsive toolBox for accElerating and smartening deep renovation,SIGNED
101069612,NoVOC,Eliminating VOC from Battery manufacturing through dry or wet processing,SIGNED
101069614,EVENTS,ReliablE in-Vehicle pErception and decisioN-making in complex environmenTal conditionS,SIGNED
101069625,XTremedy Medical,"Developing a surgical infection treatment to reduce amputations, healing times and hospital stays for diabetic foot patients",CLOSED
101069639,SmartLivingEPC,Advanced Energy Performance Assessment towards Smart Living in Building and District Level,SIGNED
101069644,LiCORNE,Lithium recovery and battery-grade materials production from European resources,SIGNED
101069651,BRIDGES 5.0,Bridging Risks to an Inclusive Digital and Green future by Enhancing workforce Skills for industry 5.0,SIGNED
101069653,TANDEM,Transdisciplinary ANd Deliberative equity appraisal of transition policies in Energy and Mobility,SIGNED
101069656,READY4DC,Getting ready for multi-vendor and multi-terminal DC technology,CLOSED
101069658,DigiBUILD,High-Quality Data-Driven Services for a Digital Built Environment towards a Climate-Neutral Building Stock,SIGNED
101069665,TRANSITION,fuTure hydRogen Assisted gas turbiNeS for effective carbon capTure IntegratiON,SIGNED
101069672,SPIRIT,Implementation of sustainable heat upgrade technologies for industry,SIGNED
101069674,FLEXCRASH,Flexible and hybrid manufacturing of green aluminium to produce tailored adaptive crash-tolerant structures,SIGNED
101069676,BEST,Batteries Europe Secretariat,SIGNED
101069681,HELENA,Halide solid state batteries for ELectric vEhicles aNd Aircrafts,SIGNED
101069682,ReNEW,"Resilience-centric Smart, Green, Networked EU Inland Waterways",SIGNED
101069685,RHINOCEROS,Batteries reuse and direct production of high performances cathodic and anodic materials and other raw materials from batteries recycling using low cost and environmentally friendly technologies,SIGNED
101069686,PULSELiON,PUlsed Laser depoSition tEchnology for soLid State battery manufacturIng supported by digitalizatiON,SIGNED
101069688,CONNECT,Continuous and Efficient Cooperative Trust Management for Resilient CCAM,SIGNED
101069689,PUSH2HEAT,Pushing forward the market potential and business models of waste heat valorisation by full-scale demonstration of next-gen heat upgrade technologies in various industrial contexts.,SIGNED
101069690,STORMING,STructured unconventional reactors for CO2-fRee Methane catalytic crackING,SIGNED
101069694,DATA CELLAR,Data hub for the Creation of Energy communities at Local Level and to Advance Research on them,SIGNED
101069702,SSTAR,Innovative HV Solid-State TrAnsformer for maximizing Renewable energy penetration in energy distribution and transmission systems,SIGNED
101069703,PSIONIC,"High voltage, room temperature single-ion polymer electrolyte for safer all solid state lithium metal batteries",SIGNED
101069705,BatWoMan,"Carbon Neutral European Battery Cell Production with Sustainable, Innovative Processes and 3D Electrode Design to Manufacture",SIGNED
101069707,GIGAGREEN,Towards the sustainable giga-factory: developing green cell manufacturing processes,SIGNED
101069712,SPINMATE,SCALABLE AND SUSTAINABLE PILOT LINE BASED ON INNOVATIVE MANUFACTURING TECHNOLOGIES TOWARDS THE INDUSTRIALISATION OF SOLID-STATE BATTERIES FOR THE AUTOMOTIVE SECTOR,SIGNED
101069717,AUGMENTED CCAM,Augmenting and Evaluating the Physical and Digital Infrastructure for CCAM deployment,SIGNED
101069722,CHRONICLE,Building Performance Digitalisation and Dynamic Logbooks for Future Value-Driven Services,SIGNED
101069726,SEATBELT,SOLID-STATE LITHIUM METAL BATTERY WITH IN SITU HYBRID ELECTROLYTE,SIGNED
101069731,FOR-FREIGHT,"Flexible, multi-mOdal and Robust FREIGHt Transport",SIGNED
101069732,aerOS,"Autonomous, scalablE, tRustworthy, intelligent European meta Operating System for the IoT edge-cloud continuum",SIGNED
101069738,SiGNE,Composite Silicon/Graphite Anodes with Ni-Rich Cathodes and Safe Ether based Electrolytes for High Capacity Li-ion Batteries,SIGNED
101069740,DECAGONE,DEmonstrator of industrial CArbon-free power Generation from Orc-based waste-heat-to-Energy systems,TERMINATED
101069743,ADVAGEN,Development of ADVAnced next GENeration Solid-State batteries for Electromobility Applications,SIGNED
101069748,SELFY,"SELF assessment, protection & healing tools for a trustworthY and resilient CCAM",SIGNED
101069750,CETP,Clean Energy Transition Partnership,SIGNED
101069756,AM4BAT,Gen. 4b Solid State Li-ion battery by additive manufacturing,SIGNED
101069764,HEALTHY SAILING,"Prevention, mitigation, management of infectious diseases on cruise ships and passenger ferries",SIGNED
101069765,IntelLiGent,Innovative and Sustainable High Voltage Li-ion Cells for Next Generation (EV) Batteries,SIGNED
101069770,iPLUG,"Distributed multiport converters for integration of renewables, storage systems and loads while enhancing performance and resiliency of modern distributed networks",SIGNED
101069782,URBANE,UPSCALING INNOVATIVE GREEN URBAN LOGISTICS SOLUTIONS THROUGH MULTI-ACTOR COLLABORATION AND PI-INSPIRED LAST MILE DELIVERIES,SIGNED
101069789,RELiEF,Recycling of Lithium from Secondary Raw Materials and Further,SIGNED
101069796,MultiRELOAD,"Port solutions for efficient, effective and sustainable multimodality",SIGNED
101069806,DECARBOMILE,Five pillars to DECARBOnize the last MILE logistics,SIGNED
101069813,NGI4ALL.E,Next Generation Internet for All Evolution - Growing a Sustainable and Inclusive Ecosystem,SIGNED
101069820,INPERSO,INdustrialised and PErsonalised Renovation for Sustainable sOcieties,SIGNED
101069828,FuelSOME,Multifuel SOFC system with  Maritime Energy vectors,SIGNED
101069831,ENERSHARE,European commoN EneRgy dataSpace framework enabling  data sHaring-driven Across- and beyond- eneRgy sErvices,SIGNED
101069834,MODERATE,Marketable Open Data Solutions for Optimized Building-Related Energy Services,SIGNED
101069836,HiPEAC,"High Performance, Edge And Cloud computing",SIGNED
101069838,CRISTAL,"Climate resilient and environmentally sustainable transport infrastructure, with a focus on inland waterways",SIGNED
101069839,SYNERGIES,"Shaping consumer-inclusive data pathwaYs towards the eNERGy transItion, through a reference Energy data Space implementation",SIGNED
101069852,Move2CCAM,MethOds and tools for comprehensive impact Assessment of the CCAM solutions for passengers and goods,SIGNED
101069865,RESPECT,"Flexible, Safe and efficient REcycling of Li-ion batterieS for a comPetitive, circular, and sustainable European battery manufaCTuring industry",SIGNED
101069877,SafeTeam,Safe Transition to Digital Assistants for Aviation,SIGNED
101069880,AdJUST,"Advancing the understanding of challenges, policy options and measures to achieve a JUST EU energy transition",SIGNED
101069888,ALL-IN Zero,Renewable and flexible fuel power generation technology enabling the multi-sectorial decarbonization with Zero emissions,SIGNED
101069890,FREE4LIB,FEASIBLE RECOVERY OF CRITICAL RAW MATERIALS THROUGH A NEW CIRCULAR ECOSYSTEM FOR A LI-ION BATTERY CROSS-VALUE CHAIN IN EUROPE,SIGNED
101069892,GREEN-LOG,Cooperative and Interconnected Green delivery solutions towards an era of optimized zero emission last-mile Logistics,SIGNED
101069898,FAME,Framework for coordination of Automated Mobility in Europe,SIGNED
101069904,COSMOS4HE,Cooperation Of Space NCPs as a Means to Optimise Services for Horizon Europe,SIGNED
101069905,REPAIR,Removing non-CO2 greenhouse gas emissions to support ambitious climate transitions,SIGNED
101069910,NEXTCELL,Towards the next generation of high performance li-ion battery cells,SIGNED
101069931,ColdSpark,COLDSPARK DRIVEN ENERGY AND COST-EFFICIENT METHANE CRACKING FOR HYDROGEN PRODUCTION,SIGNED
101069934,TRANSFORMER,Designing long-term systemic transformation frameworks for regions – Accelerating the shift towards climate neutrality,CLOSED
101069937,HS4U,Healthy Ship 4U,SIGNED
101069941,PLOTO,"Deployment and Assessment of Predictive modelling, environmentally sustainable and emerging digital technologies and tools for improving the resilience of IWW against Climate change and other extremes",SIGNED
101069949,AiRPaDD,Advancing Reaction Platforms for Drug Discovery,SIGNED
101069981,MacGhyver,Microfluidic Alkaline eleCtrolysis for Green HYdrogen Via Electrochemical Reactions,SIGNED
101069987,6GStart,Starting the Sustainable 6G SNS Initiative for Europe,CLOSED
101069990,Hungry EcoCities,AI enabled artistic solutions for sustainable food systems,SIGNED
101069994,EARASHI,"Embodied AI/Robotics Applications for a Safe, Human-oriented Industry",SIGNED
101070000,AI4EUROPE,AN AI ON-DEMAND PLATFORM TO SUPPORT RESEARCH EXCELLENCE IN EUROPE,SIGNED
101070008,ORSHIN,Open-source ReSilient Hardware and software for Internet of thiNgs,SIGNED
101070009,OCTAPUS,Optical circuit switched time sensitive network architecture for high-speed passive optical networks and next generation ultra-dynamic and reconfigurable central office environments,SIGNED
101070014,OpenWebSearch.EU,Piloting a Cooperative Open Web Search Infrastructure to Support Europe's Digital Sovereignty,SIGNED
101070028,REXASI-PRO,REliable & eXplAinable Swarm Intelligence for People with Reduced mObility,SIGNED
101070030,OpenContinuum,An Open Ecosystem for European strategic autonomy and interoperability across the computing continuum industry,CLOSED
101070035,NCP4Industry,The European Network of HE Cluster 4 Industry National Contact Points,SIGNED
101070038,TRUMPET,TRUstworthy Multi-site Privacy Enhancing Technologies,SIGNED
101070043,IDEAL-IST,Ideal-ist transnational NCP project.,SIGNED
101070045,PREPSOIL,Preparing for the ‘Soil Deal for Europe’ Mission,SIGNED
101070046,ALCHIMIA,Data and decentralized Artificial intelligence for a competitive and green European metallurgy industry,SIGNED
101070052,TANGO,Digital Technologies ActiNg as a Gatekeeper to information and data flOws,SIGNED
101070062,SEQUOIA,SENSING USING QUANTUM OCT WITH AI,SIGNED
101070066,REGO,Cognitive robotic tools for human-centered small-scale multi-robot operations,SIGNED
